date,btc_open,btc_high,btc_low,btc_close,btc_volume,eth_open,eth_high,eth_low,eth_close,eth_volume,btc_dominance,eth_dominance,alt_dominance,fear_greed,FearGreed_Label,inflation,btc_mcap,eth_mcap,fed_rate
2018-11-08,6522.27001953125,6536.919921875,6438.52978515625,6453.72021484375,4665260000.0,217.3269958496093,218.33799743652344,212.19900512695312,212.2310028076172,1769080000.0,0.5064182358833321,0.1001186338459958,0.393463130270672,51.0,Neutral,2.147328577667773,113943582818.14384,22526589761.074043,2.2
2018-11-09,6442.60009765625,6456.4599609375,6373.3701171875,6385.6201171875,4346820000.0,211.98699951171875,213.3159942626953,209.51499938964844,210.07400512695312,1554750000.0,0.5131845362408136,0.1002220661143275,0.3865933976448588,47.0,Neutral,2.147328577667773,112723294658.02625,22014228200.633472,2.2
2018-11-10,6386.1298828125,6437.27978515625,6385.31005859375,6409.22021484375,3705320000.0,209.9750061035156,213.85699462890625,209.80499267578125,212.5330047607422,1377760000.0,0.5129161617990438,0.1000761352908533,0.3870077029101029,52.0,Neutral,2.147328577667773,111440702127.79549,21743426340.7329,2.2
2018-11-11,6413.6298828125,6423.25,6350.169921875,6411.27001953125,3939060000.0,212.47900390625,212.99899291992188,208.8679962158203,211.33999633789065,1501600000.0,0.5121972913984686,0.1007710622356459,0.3870316463658854,54.0,Neutral,2.147328577667773,111308110603.00996,21899054776.88674,2.2
2018-11-12,6411.759765625,6434.2099609375,6360.47021484375,6371.27001953125,4295770000.0,211.51300048828125,212.6230010986328,208.9239959716797,210.41799926757807,1452380000.0,0.5126488472841233,0.1005148378950886,0.386836314820788,52.0,Neutral,2.147328577667773,111773252086.90736,21915333222.812687,2.2
2018-11-13,6373.18994140625,6395.27001953125,6342.669921875,6359.490234375,4503800000.0,210.1490020751953,210.51499938964844,206.134994506836,206.8260040283203,1610260000.0,0.5145030508487294,0.1008600729217175,0.384636876229553,56.0,Greed,2.147328577667773,111385885801.71518,21835416808.274967,2.2
2018-11-14,6351.240234375,6371.5498046875,5544.08984375,5738.35009765625,7398940000.0,206.53399658203125,207.0449981689453,174.08399963378906,181.39700317382807,2595330000.0,0.5179563222825558,0.1003342904600011,0.3817093872574429,49.0,Neutral,2.147328577667773,111126759494.65369,21526572966.38387,2.2
2018-11-15,5736.14990234375,5774.81982421875,5358.3798828125,5648.02978515625,7032140000.0,181.8990020751953,184.25100708007807,170.18899536132812,180.8059997558593,2638410000.0,0.5180377818717482,0.0978130181868764,0.3841491999413753,28.0,Fear,2.147328577667773,100585460320.22012,18991988237.013927,2.2
2018-11-16,5645.31982421875,5657.02001953125,5498.93994140625,5575.5498046875,5279320000.0,180.8650054931641,181.3500061035156,173.12600708007812,175.177001953125,2015330000.0,0.5166925304782117,0.098462435434921,0.3848450340868672,23.0,Extreme Fear,2.147328577667773,98829079080.7242,18833157524.20937,2.2
2018-11-17,5578.580078125,5578.580078125,5519.56005859375,5554.330078125,4303150000.0,175.36000061035156,175.8509979248047,172.86900329589844,174.00100708007812,1832800000.0,0.5217076694850545,0.097398945815364,0.3808933846995814,24.0,Extreme Fear,2.147328577667773,97344067023.98212,18173414086.234,2.2
2018-11-18,5559.740234375,5653.60986328125,5559.740234375,5623.5400390625,4159680000.0,174.1750030517578,179.15199279785156,174.1750030517578,177.06700134277344,1810920000.0,0.5180790222586483,0.0965920772174149,0.3853289005239367,26.0,Fear,2.147328577667773,97299989131.4034,18140877471.66501,2.2
2018-11-19,5620.77978515625,5620.77978515625,4842.91015625,4871.490234375,7039560000.0,177.1790008544922,177.1790008544922,147.8509979248047,149.1750030517578,2745160000.0,0.5216531179999291,0.0975889566831894,0.3807579253168814,28.0,Fear,2.147328577667773,98118875508.37688,18355720231.296604,2.2
2018-11-20,4863.93017578125,4951.60986328125,4272.10986328125,4451.8701171875,8428290000.0,148.81100463867188,151.2530059814453,126.36000061035156,130.33900451660156,3134410000.0,0.524618744552152,0.0958309739928958,0.3795502814549522,21.0,Extreme Fear,2.147328577667773,85228342224.35999,15568477359.93989,2.2
2018-11-21,4465.5400390625,4675.72998046875,4343.97998046875,4602.169921875,6120120000.0,131.14199829101562,138.88999938964844,125.75800323486328,136.7010040283203,2685930000.0,0.5146123214905151,0.0905645838581078,0.394823094651377,15.0,Extreme Fear,2.147328577667773,76601948314.49545,13480873430.564436,2.2
2018-11-22,4611.56982421875,4629.64013671875,4365.64013671875,4365.93994140625,4569370000.0,136.81100463867188,137.74000549316406,126.70600128173828,126.70600128173828,1792150000.0,0.5265614800731752,0.0930404282747794,0.3803980916520454,14.0,Extreme Fear,2.147328577667773,80360705527.42929,14199281074.8261,2.2
2018-11-23,4360.7001953125,4396.419921875,4195.68017578125,4347.10986328125,4871490000.0,126.41899871826172,127.02799987792967,119.55899810791016,123.2959976196289,1998010000.0,0.5235194693587502,0.0911299005444721,0.3853506300967776,12.0,Extreme Fear,2.147328577667773,75518575145.29533,13145643371.545769,2.2
2018-11-24,4347.68994140625,4413.08984375,3795.159912109375,3880.760009765625,4679500000.0,123.3040008544922,126.78800201416016,110.8249969482422,113.49400329589844,1800960000.0,0.5263051731351305,0.0887458467849943,0.3849489800798751,15.0,Extreme Fear,2.147328577667773,76120308175.56718,12835445196.81356,2.2
2018-11-25,3880.780029296875,4120.8701171875,3585.06005859375,4009.969970703125,6825640000.0,113.1259994506836,118.88099670410156,101.7699966430664,116.4499969482422,2466750000.0,0.5350186305163043,0.0933176265269933,0.3716637429567024,9.0,Extreme Fear,2.147328577667773,67756132282.086784,11817983686.122583,2.2
2018-11-26,4015.070068359375,4107.14013671875,3643.919921875,3779.1298828125,6476900000.0,116.34300231933594,118.20099639892578,104.89299774169922,108.33499908447266,2139490000.0,0.5226283732718439,0.0904010119735425,0.3869706147546136,17.0,Extreme Fear,2.147328577667773,70327984591.03267,12164898237.895905,2.2
