date,precio,vol_30d,cum_ret_60d,dist_sma200,drawdown,fg,cluster_km,estado_hmm,estado_hmm_causal
2024-10-20,2746.364013671875,2.3999422641324775,6.655471610848627,-9.068856005237514,-42.92780275906366,73.0,2,2,1
2024-10-21,2665.712158203125,2.4415238361077956,4.039691916584308,-11.642035831591357,-44.603829163518995,72.0,2,2,1
2024-10-22,2620.197509765625,2.4513868108869614,-3.062237283495507,-13.049986173167937,-45.54966918328529,70.0,2,2,1
2024-10-23,2509.098876953125,2.527707370487673,-7.481116084375017,-16.61982709077685,-47.85841014169742,71.0,2,2,1
2024-10-24,2534.49853515625,2.535827565413804,-5.738258393007179,-15.646963913973543,-47.33057978286491,69.0,2,2,1
2024-10-25,2435.93408203125,2.581967041744721,-7.160338466571703,-18.757120128438444,-49.37884792273688,72.0,2,2,1
2024-10-26,2479.603271484375,2.5748724111562713,2.934709802030011,-17.158996396202998,-48.47135839060878,72.0,2,2,1
2024-10-27,2505.940673828125,2.5395232513401464,1.162519773954851,-16.133701366923248,-47.9240407685115,74.0,2,2,1
2024-10-28,2565.34814453125,2.580872284957975,3.518266936124781,-14.010268974910966,-46.68949397548795,72.0,2,2,1
2024-10-29,2637.95751953125,2.6332060142491227,6.46613277732585,-11.486662171090956,-45.18059837719447,72.0,2,2,1
2024-10-30,2657.37255859375,2.6052495269554408,7.694166983379102,-10.783197796045407,-44.77713440326407,77.0,2,2,1
2024-10-31,2515.79931640625,2.559754898803373,5.768037239541989,-15.445277442897664,-47.71916829314201,77.0,2,2,1
2024-11-01,2511.885498046875,2.472022599175313,1.070072767715013,-15.493072447397315,-47.80050136197757,75.0,2,2,1
2024-11-02,2491.068603515625,2.4743972679327615,4.873914633794252,-16.109609959794437,-48.23309729781013,72.0,2,2,1
2024-11-03,2456.42529296875,2.443343589456025,2.3110562485991744,-17.202620398612012,-48.95302001845735,74.0,2,2,1
2024-11-04,2397.0263671875,2.485783870431318,3.2102350477595123,-19.113549313639645,-50.18738923943865,70.0,2,2,1
2024-11-05,2422.650634765625,2.4866717920858985,10.35512547268106,-18.160965146258402,-49.65489127263854,70.0,2,2,1
2024-11-06,2724.169189453125,3.361573755261794,20.542237255225828,-7.908009262445259,-43.3890334550801,70.0,2,2,1
